state,month,member,intercept,slope,resid_std
AK,Apr,0,-1.8865652510709878,5.797290488456942,2.168405569286865
AK,Apr,1,-1.8604618043832712,2.2424042156900983,2.168405569286865
AK,Apr,2,-1.6235708383944518,2.7816674915611515,2.168405569286865
AK,Apr,3,-1.6827339259231526,3.880976770967176,2.168405569286865
AK,Apr,4,-1.4403926195543233,3.3237820103035536,2.168405569286865
AK,Apr,5,-1.6369927584691428,4.134709502306144,2.168405569286865
AK,Apr,6,-1.3954381412746086,3.364387809703221,2.168405569286865
AK,Apr,7,-1.4998055782918978,3.1331584202055094,2.168405569286865
AK,Apr,8,-1.59459389471967,2.1793299792176626,2.168405569286865
AK,Apr,9,-2.050779641188214,7.247294461129031,2.168405569286865
AK,Apr,10,-1.7182295742917215,5.109371282453463,2.168405569286865
AK,Apr,11,-1.6518380122633878,1.4525967697245197,2.168405569286865
AK,Apr,12,-1.506628583146798,4.774315704567588,2.168405569286865
AK,Apr,13,-1.6326693085737116,4.2496890528916405,2.168405569286865
AK,Apr,14,-1.6605365993577677,4.3686706958606285,2.168405569286865
AK,Apr,15,-1.7341784620393752,3.0460292317058344,2.168405569286865
AK,Apr,16,-1.6495938184520689,2.8171840162405526,2.168405569286865
AK,Apr,17,-1.589636855911951,4.678639030862835,2.168405569286865
AK,Apr,18,-1.5121935509677944,4.848883103138884,2.168405569286865
AK,Apr,19,-2.164481407085896,3.6605521439669992,2.168405569286865
AK,Apr,20,-1.7874920114554338,4.479855720491163,2.168405569286865
AK,Apr,21,-1.9334038501651343,3.971041735151067,2.168405569286865
AK,Apr,22,-1.5624708047059732,2.909105090032654,2.168405569286865
AK,Apr,23,-1.4052353406893021,2.3271699098150838,2.168405569286865
AK,Apr,24,-1.754844575867035,2.380757171096921,2.168405569286865
AK,Apr,25,-1.9281181153879419,4.170843890522106,2.168405569286865
AK,Apr,26,-1.5463515281666347,3.7700331759408106,2.168405569286865
AK,Apr,27,-1.9543078660998445,5.258083733856859,2.168405569286865
AK,Apr,28,-1.498903678232203,3.3620945771045645,2.168405569286865
AK,Apr,29,-1.2697561567768076,3.3484338702005276,2.168405569286865
AK,Apr,30,-2.204374976590289,5.004235992985761,2.168405569286865
AK,Apr,31,-1.445135123840082,3.4692416367551053,2.168405569286865
AK,Apr,32,-2.454261741919541,5.505585387576569,2.168405569286865
AK,Apr,33,-1.5793944711774495,2.8082976821591124,2.168405569286865
AK,Apr,34,-1.524708994876426,4.446649495500367,2.168405569286865
AK,Apr,35,-1.5890785726739474,3.2869339513294475,2.168405569286865
AK,Apr,36,-1.7960541311252158,4.322065039841621,2.168405569286865
AK,Apr,37,-2.050243921499582,4.398010479792696,2.168405569286865
AK,Apr,38,-1.4073072323986082,2.7038181723808155,2.168405569286865
AK,Apr,39,-1.5397164343976502,3.425935354424272,2.168405569286865
AK,Apr,40,-1.9775986937310481,2.7911579193364355,2.168405569286865
AK,Apr,41,-1.3835277161194803,4.731510170182002,2.168405569286865
AK,Apr,42,-1.3918525816918694,3.2353280599584133,2.168405569286865
AK,Apr,43,-1.6456470512131807,2.162655529953947,2.168405569286865
AK,Apr,44,-1.9290935540023588,4.5328370255473756,2.168405569286865
AK,Apr,45,-1.7311664280366141,3.1198705315523534,2.168405569286865
AK,Apr,46,-2.133458332535913,2.756362250607698,2.168405569286865
AK,Apr,47,-2.0515903277285203,5.437539839658993,2.168405569286865
AK,Apr,48,-1.7093456058199592,4.7221196984137634,2.168405569286865
AK,Apr,49,-2.0577288082720417,5.4217910247623,2.168405569286865
AK,Apr,50,-1.7721327029776301,3.9194244308925943,2.168405569286865
AK,Apr,51,-1.3626419383273027,2.4569964668347897,2.168405569286865
AK,Apr,52,-2.0878037253655295,4.253129834207821,2.168405569286865
AK,Apr,53,-1.7049560940654456,2.5842880654013705,2.168405569286865
AK,Apr,54,-1.7844456347056468,3.4248397356537614,2.168405569286865
AK,Apr,55,-1.4439153292059517,4.048811180829731,2.168405569286865
AK,Apr,56,-1.7227417990931453,4.513473915106841,2.168405569286865
AK,Apr,57,-1.8046463466727831,4.433467312017986,2.168405569286865
AK,Apr,58,-1.9176045355688678,4.805252908108923,2.168405569286865
AK,Apr,59,-1.4448178527236015,3.7536887072672727,2.168405569286865
AK,Apr,60,-2.2193086509240727,4.175242889613383,2.168405569286865
AK,Apr,61,-1.4845343480524367,2.511377868047868,2.168405569286865
AK,Apr,62,-1.7324301688629398,5.915463493654023,2.168405569286865
AK,Apr,63,-1.6571600325932458,2.3989972942585136,2.168405569286865
AK,Apr,64,-2.0861456081764547,4.751525371885223,2.168405569286865
AK,Apr,65,-1.4241644782373786,2.695598211005207,2.168405569286865
AK,Apr,66,-1.765176413169113,1.2548783270622168,2.168405569286865
AK,Apr,67,-2.038623580901871,4.9933727553209195,2.168405569286865
AK,Apr,68,-1.7823829302882128,3.4998470640489425,2.168405569286865
