Region,Month,Combined Slope,Estimated Combined Slope SE,P-Value,Combined Intercept
GA,Jan,2.6322811373710464,1.2420630092631075,0.034066685516832694,-24.57312058297376
GA,Feb,1.7990132195656434,1.261688690254469,0.15390377286321286,-10.266763760485652
GA,Mar,2.140510093082976,1.0478220037829267,0.04107041615620546,-11.163238877661135
GA,Apr,1.9910717400485505,0.9143168424728604,0.029431316209266173,-4.917282736600633
GA,May,1.2862950401838082,0.816236079299956,0.11505206947035708,9.561192760357844
GA,Jun,0.6969818151007716,0.9041896974128997,0.4408042471808459,21.22493263006031
GA,Jul,0.8901822634050571,0.9366692069894202,0.34192430952769914,19.75568155944127
GA,Aug,1.4213609681008244,0.7707649638915877,0.06516983488724423,11.56716304067719
GA,Sep,2.1115197495352684,0.9633848252336726,0.0283959840310422,-0.7789345712894455
GA,Oct,2.554895368106875,0.89367088507768,0.004251432518813741,-11.85599969440757
GA,Nov,1.2698849183901426,1.12237983037971,0.2578776338380111,1.1491895128145853
GA,Dec,2.944638362614314,1.5553493578287765,0.058326922162944356,-27.409120881734623
IL,Jan,2.9798443408823108,1.558189258942919,0.05582793481877894,-41.58755539381108
IL,Feb,1.1221701642032973,2.039336764523886,0.5821394695727357,-12.35136430548553
IL,Mar,1.872338408936686,1.511856089680006,0.21555409570028228,-16.1982224266571
IL,Apr,1.5347466788773692,1.1710822076639935,0.1900142024637269,-4.711218523449117
IL,May,0.6528893373197333,1.0726843597371831,0.5427564541601677,13.418827044209632
IL,Jun,2.193823652562629,0.7867545468014939,0.0052961350766469765,-3.922174592009597
IL,Jul,0.6387602475172367,1.0318650573244983,0.5358935179199809,20.39508808326532
IL,Aug,0.648963226978754,1.0439839012702092,0.5341905356332542,19.69098829574515
IL,Sep,3.23252871439398,0.9030686221757784,0.0003442601524532125,-20.9191412822709
IL,Oct,0.933376770182009,0.9524230549827614,0.3270849907309411,5.101712407910152
IL,Nov,2.663955587855121,1.5621951799007656,0.08814515237474105,-27.61266816235283
IL,Dec,3.972709027874758,2.0207268568281145,0.04930089566201504,-53.43323522739155
UT,Jan,2.123909955580455,1.3452906078311702,0.11438788356204915,-28.762066141969044
UT,Feb,1.8411566481910873,1.2402079892384985,0.13766181254069554,-21.833601430794104
UT,Mar,2.3044392285809123,1.146273666738309,0.044391578441146586,-23.18364024979822
UT,Apr,1.4059856799293216,1.2220873978929963,0.24994670856189205,-5.456270858199533
UT,May,0.7601232240011724,1.2631238610619382,0.5473203015454211,9.417620621710444
UT,Jun,3.5577255783238835,1.2870051612613729,0.005703729385834607,-23.823647302654617
UT,Jul,4.184463023518672,0.7874682180389695,1.0735166729823737e-07,-29.182138185132104
UT,Aug,2.586892154763425,0.7766020295694889,0.0008652227668271378,-7.641029348060103
UT,Sep,4.093500941032119,0.9420168142132417,1.389810358059277e-05,-34.23882828961958
UT,Oct,2.3941254023285232,1.2967383381980577,0.06485342434229158,-17.919459777394607
