state,month,member,intercept,slope,resid_std
AK,Apr,0,-5.609821326321472,6.59586090240145,2.183781845385751
AK,Apr,1,-5.570415841213334,5.454746301339279,2.183781845385751
AK,Apr,2,-5.159922910726171,2.860174780709063,2.183781845385751
AK,Apr,3,-5.611671532473047,3.856633911777527,2.183781845385751
AK,Apr,4,-5.828085577761443,4.052106131359455,2.183781845385751
AK,Apr,5,-5.929156446013373,4.925945565248165,2.183781845385751
AK,Apr,6,-5.315338789475295,2.8872547863194624,2.183781845385751
AK,Apr,7,-5.781595704781473,4.666962584205411,2.183781845385751
AK,Apr,8,-5.966180253977152,4.5546454267920735,2.183781845385751
AK,Apr,9,-5.484629466044661,3.7412811514598285,2.183781845385751
AK,Apr,10,-5.440873182875129,4.042593177274626,2.183781845385751
AK,Apr,11,-5.485155065501636,4.081399579225532,2.183781845385751
AK,Apr,12,-5.426107423433362,3.7510113059087167,2.183781845385751
AK,Apr,13,-5.135275457237672,2.2605941992055274,2.183781845385751
AK,Apr,14,-5.588928488971033,2.784882508737998,2.183781845385751
AK,Apr,15,-5.824061612417308,3.2105760201609774,2.183781845385751
AK,Apr,16,-5.240688480430217,4.31405791625107,2.183781845385751
AK,Apr,17,-5.806471446919062,-0.2370151526771293,2.183781845385751
AK,Apr,18,-5.9374019287672555,4.965303298793983,2.183781845385751
AK,Apr,19,-5.276850912079687,6.497164822795715,2.183781845385751
AK,Apr,20,-5.497596576633132,4.848137080439242,2.183781845385751
AK,Apr,21,-5.860871902438142,3.883613513703842,2.183781845385751
AK,Apr,22,-5.266984288923126,2.3155091003495873,2.183781845385751
AK,Apr,23,-5.452246470330973,4.501274987153755,2.183781845385751
AK,Apr,24,-5.589883434160079,5.100118158401345,2.183781845385751
AK,Apr,25,-5.240131773916009,3.564454212954745,2.183781845385751
AK,Apr,26,-5.508066137202292,3.6206587655742957,2.183781845385751
AK,Apr,27,-5.254966146576112,2.809804653247148,2.183781845385751
AK,Apr,28,-5.274507937724612,2.5899537700080044,2.183781845385751
AK,Apr,29,-5.383653199594237,4.837495119394427,2.183781845385751
AK,Apr,30,-6.082278419904751,5.7770538520415,2.183781845385751
AK,Apr,31,-5.745164020925361,4.416944832690559,2.183781845385751
